name,temp,humidity,precip,precipcover,windgust,solarradiation,solarenergy,uvindex,O3,SO2
bangkok,32.7,66.2,0.0,0.0,33.1,226.4,19.7,9,11.0,1.894736842105263
bangkok,31.8,73.9,2.153,4.17,28.4,183.3,15.6,7,22.0,1.6206896551724137
bangkok,29.0,75.6,1.234,8.33,22.7,208.6,17.8,7,64.0,5.06753899265526
bangkok,30.8,71.8,0.083,4.17,25.6,184.9,15.8,8,17.0,1.1851851851851851
bangkok,29.2,78.0,13.052,20.83,33.24545454545454,149.7,12.9,6,19.0,1.4482758620689655
bangkok,27.1,79.6,7.051,12.5,28.4,88.9,7.6,6,11.0,2.0
bangkok,25.2,72.5,0.0,0.0,21.6,97.2,8.2,5,10.0,1.9230769230769231
bangkok,26.2,72.4,0.0,0.0,19.06,101.2,8.8,4,16.0,1.4242424242424243
bangkok,29.0,66.1,0.0,0.0,22.78,174.3,14.8,6,20.0,1.625
bangkok,29.6,75.7,8.701,8.33,40.7,174.9,15.1,6,9.0,3.342857142857143
bangkok,27.7,87.4,4.384,12.5,53.6,120.0,10.2,8,11.0,1.894736842105263
bangkok,28.2,84.9,11.339,16.67,28.5734693877551,140.7,12.1,6,6.0,12.0
bangkok,29.2,82.9,3.856,8.33,76.0,169.9,14.5,8,3.0,2.25
bangkok,28.4,83.6,12.484,25.0,22.0,107.0,9.4,5,5.0,4.857142857142857
bangkok,29.1,83.0,4.487,16.67,23.8,91.8,8.0,5,9.0,3.342857142857143
bangkok,30.3,75.8,0.007,4.17,23.4,203.7,17.5,8,5.0,4.857142857142857
bangkok,31.1,68.6,0.0,0.0,25.2,215.0,18.4,9,4.0,1.0
bangkok,31.4,69.2,0.0,0.0,19.4,146.8,12.7,6,4.0,1.0
bangkok,31.0,76.3,1.04,12.5,29.5,244.9,21.3,10,4.0,1.0
bangkok,30.1,77.6,3.87,12.5,22.0,190.8,16.5,7,13.0,1.0
bangkok,28.2,84.2,40.371,25.0,20.2,152.7,13.1,7,8.0,3.5185185185185186
bangkok,27.6,88.9,46.818,25.0,28.4,123.2,10.6,5,5.0,4.857142857142857
bangkok,29.2,81.0,2.572,12.5,27.0,154.3,13.4,6,8.0,3.5185185185185186
bangkok,30.1,73.2,0.0,0.0,32.0,165.2,14.2,7,9.0,3.342857142857143
bangkok,29.2,74.0,1.974,12.5,43.6,78.8,6.8,5,10.0,1.9230769230769231
bangkok,27.9,77.8,8.058,8.33,43.6,112.0,9.5,5,11.0,1.894736842105263
bangkok,30.1,70.5,0.0,0.0,34.6,209.3,17.9,8,8.0,1.0
bangkok,30.2,68.0,0.577,4.17,29.5,150.0,13.0,6,14.0,1.25
bangkok,29.9,69.5,0.685,4.17,28.4,225.5,19.5,8,5.0,4.857142857142857
bangkok,30.3,71.2,0.222,12.5,28.8,195.0,16.9,8,8.0,1.0
bangkok,30.4,67.3,0.017,4.17,32.8,183.3,15.8,7,10.0,1.9230769230769231
bangkok,29.5,74.3,22.931,12.5,31.7,209.6,18.1,7,14.0,1.25
bangkok,30.3,70.6,0.0,0.0,42.5,219.7,19.0,7,14.0,1.25
bangkok,30.3,67.7,0.21,4.17,25.9,189.1,16.4,8,15.0,2.0
bangkok,30.1,74.5,4.255,8.33,22.3,203.8,17.6,8,16.0,1.4242424242424243
bangkok,30.4,75.7,0.446,8.33,26.3,164.6,14.0,6,10.0,1.9230769230769231
bangkok,30.6,73.6,0.0,0.0,27.4,263.7,22.8,10,6.0,12.0
bangkok,29.4,80.6,18.282,16.67,44.6,75.1,6.5,2,8.0,3.5185185185185186
bangkok,29.4,79.3,0.443,4.17,28.1,156.6,13.5,6,12.0,1.125
bangkok,30.0,72.0,0.0,0.0,26.3,174.8,15.2,8,10.0,1.9230769230769231
bangkok,28.9,75.0,27.485,16.67,27.4,216.4,18.8,8,10.0,1.9230769230769231
bangkok,29.4,69.1,1.787,4.17,29.2,198.8,17.0,8,10.0,1.0
bangkok,29.1,69.2,2.205,8.33,23.8,177.8,15.4,7,9.0,3.342857142857143
bangkok,30.0,73.1,0.064,4.17,23.0,175.3,15.1,7,13.0,1.0
bangkok,30.2,74.0,0.74,8.33,44.6,191.7,16.5,8,12.0,1.125
bangkok,30.1,72.4,0.083,4.17,29.5,218.1,18.5,7,15.0,2.0
bangkok,31.2,67.6,0.0,0.0,22.7,193.8,16.7,7,14.0,1.25
bangkok,30.3,72.4,5.467,16.67,22.3,185.6,16.0,8,7.0,22.541666666666668
bangkok,29.7,80.2,0.249,12.5,26.3,126.1,10.8,7,5.0,4.857142857142857
bangkok,29.4,81.2,1.494,12.5,40.7,165.2,14.1,8,3.0,2.25
bangkok,29.3,81.7,35.771,12.5,25.9,161.0,13.9,7,4.0,1.0
bangkok,30.7,74.6,0.931,8.33,26.6,171.9,14.8,8,2.0,1.0
bangkok,30.8,69.2,0.03,4.17,24.5,209.7,18.3,8,1.0,1.0
bangkok,31.3,62.6,30.769,12.5,53.6,234.3,20.2,8,6.0,12.0
bangkok,30.1,67.2,5.955,4.17,27.0,246.3,21.3,8,8.0,3.5185185185185186
bangkok,29.2,76.5,21.359,12.5,37.8,234.2,20.2,8,15.0,2.0
bangkok,30.0,71.2,0.938,12.5,33.5,200.4,17.2,8,13.0,2.15625
bangkok,30.2,71.9,0.693,12.5,24.8,196.9,16.9,8,13.0,2.15625
bangkok,29.4,76.1,20.461,20.83,22.7,155.0,13.4,7,10.0,1.9230769230769231
bangkok,28.5,82.5,6.312,12.5,27.4,143.5,12.4,7,7.0,22.541666666666668
bangkok,29.5,77.9,3.298,20.83,28.1,163.5,14.0,8,6.0,12.0
bangkok,28.3,85.7,4.236,12.5,28.4,84.8,7.3,5,18.0,1.0
bangkok,29.3,78.8,21.556,12.5,21.6,182.1,15.6,6,14.0,1.25
bangkok,29.8,77.0,1.247,12.5,26.6,235.0,20.4,8,9.0,3.342857142857143
bangkok,30.3,72.0,4.834,20.83,39.2,215.5,18.5,7,10.0,1.0
bangkok,29.8,71.9,23.059,12.5,24.8,213.1,18.6,7,7.0,22.541666666666668
bangkok,29.3,78.6,3.431,8.33,33.5,187.9,16.1,8,8.0,1.0
bangkok,29.5,79.8,0.279,8.33,31.3,125.0,10.7,6,9.0,3.342857142857143
bangkok,30.0,73.0,0.0,0.0,33.1,140.8,12.1,6,9.0,3.342857142857143
bangkok,30.0,77.2,5.921,8.33,22.7,120.3,10.5,4,12.0,1.125
bangkok,30.4,70.0,7.416,8.33,19.1,202.9,17.5,7,10.0,1.0
bangkok,30.3,69.4,0.0,0.0,25.2,150.4,13.0,5,9.0,3.342857142857143
bangkok,29.9,71.0,28.442,4.17,32.8,188.0,16.2,8,6.0,12.0
bangkok,27.9,83.9,14.652,25.0,38.2,116.5,10.1,5,7.0,22.541666666666668
bangkok,29.2,70.6,0.229,4.17,36.0,22.6,1.9,1,7.0,22.541666666666668
bangkok,29.0,69.4,1.409,12.5,39.2,125.5,10.8,5,8.0,3.5185185185185186
bangkok,27.9,75.7,1.105,12.5,40.7,128.0,11.2,6,6.0,12.0
bangkok,26.1,84.0,6.901,29.17,50.0,88.2,7.6,3,10.0,1.9230769230769231
bangkok,28.3,76.3,27.903,8.33,32.0,182.3,15.8,8,11.0,1.894736842105263
bangkok,28.9,79.8,1.208,12.5,26.3,126.0,10.7,6,12.0,1.125
bangkok,29.5,77.4,1.879,12.5,22.0,145.8,12.6,6,10.0,1.9230769230769231
bangkok,29.4,76.1,8.448,12.5,22.7,203.8,17.4,7,10.0,1.9230769230769231
bangkok,30.5,74.2,2.035,12.5,21.6,213.6,18.4,8,10.0,1.9230769230769231
bangkok,30.6,68.4,0.0,0.0,31.7,206.7,17.8,8,8.0,3.5185185185185186
bangkok,29.2,77.7,69.998,16.67,46.4,167.8,14.5,8,3.0,2.25
bangkok,26.4,92.2,56.23,25.0,30.6,77.9,6.8,4,6.0,12.0
bangkok,28.6,80.5,8.119,16.67,42.5,121.5,10.5,6,5.0,4.857142857142857
bangkok,28.0,87.1,8.929,20.83,22.0,73.0,6.3,3,8.0,3.5185185185185186
bangkok,28.3,84.3,12.832,20.83,20.5,189.2,16.5,9,14.0,1.25
bangkok,29.2,77.3,0.148,12.5,18.0,220.9,19.1,8,9.0,3.342857142857143
bangkok,30.3,75.0,7.903,4.17,20.2,124.5,10.8,4,10.0,1.9230769230769231
bangkok,30.1,76.9,1.567,12.5,23.0,159.0,14.0,8,7.0,22.541666666666668
bangkok,28.7,82.2,46.936,25.0,48.2,170.1,14.6,6,8.0,3.5185185185185186
bangkok,29.8,79.6,7.142,16.67,23.0,142.3,12.4,7,14.0,1.25
bangkok,30.5,77.3,0.019,8.33,25.9,189.5,16.4,8,11.0,1.894736842105263
bangkok,29.4,80.4,8.164,16.67,66.6,158.2,13.6,8,4.0,1.0
bangkok,26.9,93.4,39.728,25.0,46.4,90.2,7.8,5,4.0,1.0
bangkok,26.9,90.3,33.385,29.17,46.4,138.3,11.9,8,6.0,12.0
